0.53767,0.62702,-0.10224,-0.25485,1.4193,1.5237
1.8339,1.6452,-0.24145,-0.23444,0.29158,0.1634
-2.2588,-2.1351,0.31921,0.39396,0.19781,0.20995
0.86217,1.0835,0.31286,0.46499,1.5877,1.495
0.31877,0.38454,-0.86488,-0.63839,-0.80447,-0.7536
-1.3077,-1.1487,-0.030051,-0.017629,0.69662,0.60497
-0.43359,-0.32672,-0.16488,-0.37364,0.83509,0.89586
0.34262,0.29639,0.62771,0.51672,-0.24372,-0.13698
3.5784,3.5841,1.0933,0.93258,0.21567,0.455
2.7694,2.6307,1.1093,1.4298,-1.1658,-1.1816
-1.3499,-1.2111,-0.86365,-0.94186,-1.148,-1.4381
3.0349,2.8428,0.077359,0.18211,0.10487,-0.014613
0.7254,0.56737,-1.2141,-1.2291,0.72225,0.90612
-0.063055,-0.17662,-1.1135,-0.97701,2.5855,2.4084
0.71474,0.29225,-0.0068493,-0.11468,-0.66689,-0.52466
-0.20497,-7.8874e-06,1.5326,1.3195,0.18733,0.20296
-0.12414,-0.077029,-0.76967,-0.96262,-0.082494,0.121
1.4897,1.3683,0.37138,0.43653,-1.933,-2.1903
1.409,1.5882,-0.22558,-0.24835,-0.43897,-0.46247
1.4172,1.1616,1.1174,1.0785,-1.7947,-1.9471
