Horsepower,CityMPG,EngineType
111,21,13
111,21,13
154,19,37
102,24,35
115,18,35
110,19,35
110,19,35
110,19,35
140,17,35
160,16,35
101,23,35
101,23,35
121,21,35
121,21,35
121,20,35
182,16,35
182,16,35
182,15,35
48,47,27
70,38,35
70,38,35
68,37,35
68,31,35
102,24,35
68,31,35
68,31,35
68,31,35
102,24,35
88,24,35
145,19,35
58,49,35
76,31,35
60,38,35
76,30,35
76,30,35
76,30,35
76,30,35
86,27,35
86,27,35
86,27,35
86,27,35
101,24,35
100,25,35
78,24,35
70,38,35
70,38,35
90,24,35
176,15,13
176,15,13
262,13,37
68,30,35
68,31,35
68,31,35
68,31,35
68,31,35
101,17,43
101,17,43
101,17,43
135,16,43
84,26,35
84,26,35
84,26,35
84,26,35
64,36,35
84,26,35
120,19,35
72,31,35
123,22,35
123,22,35
123,22,35
123,22,35
155,16,37
155,16,37
184,14,37
184,14,37
175,19,35
68,37,35
68,31,35
68,31,35
102,24,35
116,23,35
88,25,35
145,19,35
145,19,35
145,19,35
88,25,35
88,25,35
116,23,35
116,23,35
69,31,35
55,45,35
69,31,35
69,31,35
69,31,35
69,31,35
69,31,35
69,31,35
69,31,35
69,31,35
97,27,35
97,27,35
152,17,37
152,17,37
152,19,37
160,19,37
200,17,37
160,19,37
97,19,27
95,28,27
97,19,27
95,25,27
95,19,27
95,28,27
95,19,27
95,25,27
97,19,27
95,28,27
142,18,27
68,37,35
102,24,35
68,31,35
68,31,35
68,31,35
88,24,35
145,19,35
143,19,35
207,17,36
207,17,36
207,17,36
288,17,14
NaN,23,35
NaN,23,35
110,21,35
110,21,35
110,21,35
110,21,35
160,19,13
160,19,13
69,31,36
73,26,36
73,26,36
82,32,36
82,28,36
94,26,36
82,24,36
111,24,36
82,28,36
94,25,36
82,23,36
111,23,36
62,35,35
62,31,35
62,31,35
62,31,35
62,27,35
62,27,35
70,30,35
70,30,35
56,34,35
56,38,35
70,38,35
70,28,35
70,28,35
70,29,35
70,29,35
112,26,13
112,26,13
116,24,35
116,24,35
116,24,35
116,24,35
116,24,35
116,24,35
92,29,35
73,30,35
92,27,35
92,27,35
92,27,35
161,20,13
161,19,13
156,20,13
156,19,13
52,37,35
85,27,35
52,37,35
85,27,35
85,27,35
68,37,35
100,26,35
90,24,35
90,24,35
110,19,35
68,33,35
88,25,35
114,23,35
114,23,35
114,24,35
114,24,35
162,17,35
162,17,35
114,23,35
160,19,35
134,18,37
106,26,35
114,19,35
