Acceleration,Cylinders,Displacement,Horsepower,Mfg,Model_Year,Weight,MPG
12,8,307,130,chevrolet,70,3504,18
11.5,8,350,165,buick,70,3693,15
11,8,318,150,plymouth,70,3436,18
12,8,304,150,amc,70,3433,16
10.5,8,302,140,ford,70,3449,17
10,8,429,198,ford,70,4341,15
9,8,454,220,chevrolet,70,4354,14
8.5,8,440,215,plymouth,70,4312,14
10,8,455,225,pontiac,70,4425,14
8.5,8,390,190,amc,70,3850,15
17.5,4,133,115,citroen,70,3090,NaN
11.5,8,350,165,chevrolet,70,4142,NaN
11,8,351,153,ford,70,4034,NaN
10.5,8,383,175,plymouth,70,4166,NaN
11,8,360,175,amc,70,3850,NaN
10,8,383,170,dodge,70,3563,15
8,8,340,160,plymouth,70,3609,14
8,8,302,140,ford,70,3353,NaN
9.5,8,400,150,chevrolet,70,3761,15
10,8,455,225,buick,70,3086,14
15,4,113,95,toyota,70,2372,24
15.5,6,198,95,plymouth,70,2833,22
15.5,6,199,97,amc,70,2774,18
16,6,200,85,ford,70,2587,21
14.5,4,97,88,datsun,70,2130,27
20.5,4,97,46,volkswagen,70,1835,26
17.5,4,110,87,peugeot,70,2672,25
14.5,4,107,90,audi,70,2430,24
17.5,4,104,95,saab,70,2375,25
12.5,4,121,113,bmw,70,2234,26
15,6,199,90,amc,70,2648,21
14,8,360,215,ford,70,4615,10
15,8,307,200,chevrolet,70,4376,10
13.5,8,318,210,dodge,70,4382,11
18.5,8,304,193,ih,70,4732,9
15.5,4,107,86,fiat,76,2464,28
16.9,4,116,81,opel,76,2220,25
14.9,4,140,92,ford,76,2572,25
17.7,4,98,79,dodge,76,2255,26
15.3,4,101,83,renault,76,2202,27
13,8,305,140,chevrolet,76,4215,17.5
13,8,318,150,dodge,76,4190,16
13.9,8,304,120,amc,76,3962,15.5
12.8,8,351,152,ford,76,4215,14.5
15.4,6,225,100,plymouth,76,3233,22
14.5,6,250,105,chevrolet,76,3353,22
17.6,6,200,81,ford,76,3012,24
17.6,6,232,90,amc,76,3085,22.5
22.2,4,85,52,chevrolet,76,2035,29
22.1,4,98,60,chevrolet,76,2164,24.5
14.2,4,90,70,volkswagen,76,1937,29
17.4,4,91,53,honda,76,1795,33
17.7,6,225,100,dodge,76,3651,20
21,6,250,78,ford,76,3574,18
16.2,6,250,110,pontiac,76,3645,18.5
17.8,6,258,95,amc,76,3193,17.5
12.2,4,97,71,volkswagen,76,1825,29.5
17,4,85,70,datsun,76,1990,32
16.4,4,97,75,toyota,76,2155,28
13.6,4,140,72,ford,76,2565,26.5
15.7,4,130,102,volvo,76,3150,20
13.2,8,318,150,plymouth,76,3940,13
21.9,4,120,88,peugeot,76,3270,19
15.5,6,156,108,toyota,76,2930,19
16.7,6,168,120,mercedes-benz,76,3820,16.5
12.1,8,350,180,cadillac,76,4380,16.5
12,8,350,145,chevrolet,76,4055,13
15,8,302,130,ford,76,3870,13
14,8,318,150,dodge,76,3755,13
19.6,4,112,88,chevrolet,82,2605,28
18.6,4,112,88,chevrolet,82,2640,27
18,4,112,88,chevrolet,82,2395,34
16.2,4,112,85,pontiac,82,2575,31
16,4,135,84,dodge,82,2525,29
18,4,151,90,pontiac,82,2735,27
16.4,4,140,92,ford,82,2865,24
20.5,4,151,NaN,amc,82,3035,23
15.3,4,105,74,volkswagen,82,1980,36
18.2,4,91,68,mazda,82,2025,37
17.6,4,91,68,mazda,82,1970,31
14.7,4,105,63,plymouth,82,2125,38
17.3,4,98,70,mercury,82,2125,36
14.5,4,120,88,nissan,82,2160,36
14.5,4,107,75,honda,82,2205,36
16.9,4,108,70,toyota,82,2245,34
15,4,91,67,honda,82,1965,38
15.7,4,91,67,honda,82,1965,32
16.2,4,91,67,datsun,82,1995,38
16.4,6,181,110,buick,82,2945,25
17,6,262,85,oldsmobile,82,3015,38
14.5,4,156,92,chrysler,82,2585,26
14.7,6,232,112,ford,82,2835,22
13.9,4,144,96,toyota,82,2665,32
13,4,135,84,dodge,82,2370,36
17.3,4,151,90,chevrolet,82,2950,27
15.6,4,140,86,ford,82,2790,27
24.6,4,97,52,volkswagen,82,2130,44
11.6,4,135,84,dodge,82,2295,32
18.6,4,120,79,ford,82,2625,28
19.4,4,119,82,chevrolet,82,2720,31
