1300,7.5,0.012,9750,15.6,0.09
1300,9,0.012,11700,15.6,0.108
1300,11,0.0115,14300,14.95,0.1265
1300,13.5,0.013,17550,16.9,0.1755
1300,17,0.0135,22100,17.55,0.2295
1300,23,0.012,29900,15.6,0.276
1200,5.3,0.04,6360,48,0.212
1200,7.5,0.038,9000,45.6,0.285
1200,11,0.032,13200,38.4,0.352
1200,13.5,0.026,16200,31.2,0.351
1200,17,0.034,20400,40.8,0.578
1200,23,0.041,27600,49.2,0.943
1100,5.3,0.084,5830,92.4,0.4452
1100,7.5,0.098,8250,107.8,0.735
1100,11,0.092,12100,101.2,1.012
1100,17,0.086,18700,94.6,1.462
